Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
desc_7_6,iedea_2020_site_survey_english,,descriptive,"7.6  	In 2019, did HIV patients typically pay any fees (other than insurance co-pays) for the following laboratory and diagnostic services?

<i>Check one best response.</i>

<i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i></div>",,,,,,,,,,,,,
rapid_hivtest,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><u>HIV-related tests</u></div>",radio,7.6a HIV-1/HIV-2 antigen/antibody immunoassay test for established HIV infection,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
hiv1_hiv2_test,iedea_2020_site_survey_english,,radio,7.6b HIV-1 p24 antigen test for acute HIV-1 infection,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
hiv1_p24,iedea_2020_site_survey_english,,radio,7.6c Supplemental HIV-1/HIV-2 antibody differentiation immunoassay,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
cd4_test,iedea_2020_site_survey_english,,radio,7.6d CD4 testing,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
qual_pcr_eid,iedea_2020_site_survey_english,,radio,7.6e DNA or RNA PCR for early infant diagnosis (EID),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
quant_pcr_vl,iedea_2020_site_survey_english,,radio,7.6f Quantitative PCR or viral load,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
hiv1_dr,iedea_2020_site_survey_english,,radio,7.6g HIV-1 genotypic drug resistance testing,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,fees_labs,,
cbc_monitor,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>

<u>Routine laboratory monitoring</u></div>",radio,"7.6h Complete blood count (e.g, platelets, hematocrit, lymphocytes, hemoglobin etc.,)","1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,labs_monitor,,
glucose_monito,iedea_2020_site_survey_english,,radio,7.6i Glucose,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,labs_monitor,,
creatinine_monitor,iedea_2020_site_survey_english,,radio,7.6j Creatinine,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,labs_monitor,,
cholesterol_monitor,iedea_2020_site_survey_english,,radio,7.6k Cholesterol,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,labs_monitor,,
ast_alt_monitor,iedea_2020_site_survey_english,,radio,7.6l AST (SGOT) and/or ALT (SGPT),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,labs_monitor,,
hbv_test,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>

<u>Infectious disease testing</u></div>",radio,7.6m Hepatitis B virus (HBV),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,id_testing,,
hcv_test,iedea_2020_site_survey_english,,radio,7.6n Hepatitis C virus (HCV),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,id_testing,,
syphilis_test,iedea_2020_site_survey_english,,radio,7.6o Syphilis testing (RPR/TPHA/VDRL),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,id_testing,,
sti_test,iedea_2020_site_survey_english,,radio,7.6p STIs other than syphilis,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,id_testing,,
crypto_antigen_dx,iedea_2020_site_survey_english,"<div style= ""border: 1px solid #19B5FE;background: #FDFEFE; font-size:14px; color: #000000; text-align:left;padding:10px;""><i>Please indicate if patients paid fees other than insurance co-pays. Select NA for services not available for routine care.</i>

<u>Other screening & diagnostics</u></div>",radio,7.6q Cryptococcal meningitis screening (serum cryptococcal antigen/lateral flow assay),"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,other_screening_labs,,
crypto_csfindia_dx,iedea_2020_site_survey_english,,radio,7.6r Cryptococcal meningitis diagnosis by CSF India Ink or latex agglutination,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,other_screening_labs,,
ultrasound_dx,iedea_2020_site_survey_english,,radio,7.6s Ultrasound for liver disease management,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,other_screening_labs,,
cervical_ca_dx,iedea_2020_site_survey_english,,radio,7.6t Cervical cancer screening,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,other_screening_labs,,
anal_pap_dx,iedea_2020_site_survey_english,,radio,7.6u Anal pap screening,"1, Yes | 2, No | 3, Don't Know | 77, NA",,,,,,,y,,,other_screening_labs,,
extended_hours,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">8. DIFFERENTIATED HIV CARE 
(CARE TAILORED TO THE NEEDS OF DIFFERENT PATIENT POPULATIONS)
<i>Describe practices/service delivery prior to COVID-19</i></div>",checkbox,"8.1	In 2019, did this health facility offer services during extended hours for HIV patients?

<I>Check all that apply.</I>
","77, No | 1, Services offered during extended opening hours | 2, Services offered during weekends",,,,,,,y,,,,, @NONEOFTHEABOVE=77
services_extendedhrs,iedea_2020_site_survey_english,,checkbox,"8.2 	What types of services were available for HIV patients during extended hours in 2019? 


<i>Check all that apply.</i>
","1, HIV testing & counseling | 2, ART adherence counseling | 3, ART initiation | 4, ART refills | 5, General HIV services | 6, Laboratory testing (VL monitoring, etc.) | 88, Other (specify)",,,,,,[extended_hours(1)]='1' or [extended_hours(2)]='1',y,,,,,
serv_extend_hrs_oth,iedea_2020_site_survey_english,,text,"8.2a If other, specify",,,,,,,[services_extendedhrs(88)]='1',y,,,,,
diff_care_yn,iedea_2020_site_survey_english,,yesno,"8.3 In 2019, did this HIV clinic provide differentiated care (i.e., care specifically tailored to the needs of different patient populations)?",,,,,,,[extended_hours(77)]='1' or [extended_hours(1)]='1' or [extended_hours(2)]='1',y,RH,,,,
diff_hivservices,iedea_2020_site_survey_english,,checkbox,"8.4	Which of the following HIV-related services were differentiated (i.e., tailored to the needs of different patient populations) in 2019?


<i>Check all that apply.</i>
","1, HIV testing | 2, ART initiation | 3, ART delivery",,,,,,[diff_care_yn]='1',y,,,,,
diff_care_pt_type,iedea_2020_site_survey_english,,checkbox,"8.5 Which of the following types of patients were served via <u>differentiated ART delivery models</u> at this HIV clinic in 2019?

<i>Check all that apply for differentiated ART delivery, 
or skip to 9.1.</i>","77, Not applicable <i>(no differentiated ART delivery)</i> | 1, Patients presenting/returning to care with advanced HIV disease (CD4< 200 cells/mm<sup>3</sup> and/or WHO clinical stage 4 disease) | 2, Patients presenting/returning to care when clinically well | 3, Patients clinically stable on ART (""stable patients"") | 4, Patients on ART with virologic/therapeutic failure (""unstable patients"", on ART>1 year)",,,,,,[diff_hivservices(3)]='1',y,,,,, @NONEOFTHEABOVE=77
diff_criteria,iedea_2020_site_survey_english,,checkbox,"8.6 Which of the following criteria were used to define patient eligibility for differentiated ART delivery models at this HIV clinic in 2019?    


<i>Check all that apply.</i>
","1, Age thresholds (e.g. minimum age) | 2, Time on ART (e.g. minimum time) | 3, CD4 cell count thresholds (e.g., CD4 > 500 or < 200, etc.) | 4, Viral load suppression status | 5, Current pregnancy or breast-feeding status | 6, Current status of any opportunistic infection (OIs) | 7, Patient history of drug reactions or toxicities | 88, Other (specify)",,,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,,,,,
diff_criteria_other,iedea_2020_site_survey_english,,text,"8.6a If other, specify",,,,,,,[diff_criteria(88)]='1',y,,,,,
q8_7,iedea_2020_site_survey_english, ,descriptive,"8.7	In 2019, which of the following types of <u>differentiated ART delivery models were offered</u> to eligible patients enrolled in care at this HIV clinic and when were these models introduced at this clinic?",,,,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',,,,,,
client_groups,iedea_2020_site_survey_english,,yesno,"8.7a Patients managed groups (community ART refill group, community patient-led ART delivery, community adherence group, peer support group, etc.)",,Model offered (YES/NO),,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,RH,,,,
client_groups_yr,iedea_2020_site_survey_english,,text,"If model offered, specify year of introduction",,,integer,,2020,,[client_groups] = '1',,,,,,
client_groups_yr_dk,iedea_2020_site_survey_english,,radio,,"9, Don't know",,,,,,[client_groups] = '1' and [client_groups_yr] = '',,,,,,
hc_groups,iedea_2020_site_survey_english,,yesno,"8.7b Healthcare worker managed groups (ART adherence clubs, patient adherence club, youth club, teen club, etc.)",,Model offered (YES/NO),,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,RH,,,,
hc_groups_yr,iedea_2020_site_survey_english,,text,"If model offered, specify year of introduction",,,integer,,2020,,[hc_groups] = '1',y,,,,,
hc_groups_yr_dk,iedea_2020_site_survey_english,,radio,,"9, Don't know",,,,,,[hc_groups] = '1' and [hc_groups_yr] ='',,,,,,
fac_based_models,iedea_2020_site_survey_english,,yesno,"8.7c Facility-based individual models (fast track, quick pick up, pharmacy refill only without clinical consultation, etc.) ",,Model offered (YES/NO),,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,RH,,,,
fac_based_models_yr,iedea_2020_site_survey_english,,text,"If model offered, specify year of introduction",,,integer,,2020,,[fac_based_models] = '1',,,,,,
fac_based_models_yr_dk,iedea_2020_site_survey_english,,radio,,"9, Don't know",,,,,,[fac_based_models] = '1' and [fac_based_models_yr] ='',,,,,,
outoffac_models,iedea_2020_site_survey_english,,yesno,"8.7d. Out-of-facility individual models (mobile outreach, fixed community ART distribution points, community pharmacy, home delivery, etc.) ",,Model offered (YES/NO),,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,RH,,,,
outoffac_models_yr,iedea_2020_site_survey_english,,text,"If model offered, specify year of introduction",,,integer,,2020,,[outoffac_models] = '1',,,,,,
outoffac_models_yr_dk,iedea_2020_site_survey_english,,radio,,"9, Don't know",,,,,,[outoffac_models] = '1' and [outoffac_models_yr]='',,,,,,
diff_care_contact,iedea_2020_site_survey_english, ,yesno,8.8 Is there someone at this HIV clinic who may be contacted for additional information about differentiated HIV care?,,,,,,,[diff_care_pt_type(1)]='1' OR [diff_care_pt_type(2)]='1' OR [diff_care_pt_type(3)]='1' OR [diff_care_pt_type(4)]='1',y,RH,,,,
diff_care_contact_info,iedea_2020_site_survey_english,,descriptive,"If yes, please provide name and email address",,,,,,,[diff_care_contact] = '1',,,,,,
investigator_name,iedea_2020_site_survey_english,,text,8.8a Full Name:,,,,,,,[diff_care_contact] = '1',,,,,,
investigator_name_2,iedea_2020_site_survey_english,,text,8.8b Email address:,,,email,,,,[diff_care_contact] = '1',,,,,,
care_preg_women,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">9. HIV CARE FOR PREGNANT AND POSTPARTUM WOMEN
<i>Describe practices/service delivery prior to COVID-19 </i></div>",yesno,"9.1	In 2019, did this health facility provide HIV care and treatment to HIV+ pregnant women living with HIV?",,,,,,,[diff_care_yn] = '0' or [diff_care_yn] = '1' or [diff_care_yn] = '' or [diff_care_pt_type(77)]='1',y,RH,,,,
care_preg_site,iedea_2020_site_survey_english,,checkbox,"9.2 	Where was HIV care provided for <u>patients who become pregnant while already enrolled in HIV care</u> at this site</u>?

<i>Check all that apply.</i>","1, HIV clinic | 2, Antenatal/prenatal clinic | 88, Other",,,,,,[care_preg_women]='1',y,,,,,
preg_site_other,iedea_2020_site_survey_english,,text,"9.2a If Other, please specify",,,,,,,[care_preg_site(88)] = '1',y,,,,,
care_preg_art_site,iedea_2020_site_survey_english,,checkbox,"9.3 	Where did <u>pregnant women newly diagnosed with HIV during pregnancy initiate ART</u> at this health facility?

<i>Check all that apply.</i>","1, HIV clinic | 2, Antenatal/prenatal clinic | 88, Other",,,,,,[care_preg_women]='1',y,,,,,
care_preg_art_site_other,iedea_2020_site_survey_english,,text,"9.3a If Other, please specify",,,,,,,[care_preg_art_site(88)] = '1',y,,,,,
care_postpartum_women,iedea_2020_site_survey_english,,yesno,"9.4	In 2019, did this health facility provide HIV care and treatment to <u>postpartum women</u> (< 24 months after delivery) living with HIV?",,,,,,,[care_preg_women] = '0' or [care_preg_women]='1',y,RH,,,,
care_postpartum_site,iedea_2020_site_survey_english,,checkbox,"9.5	Where was HIV care provided for <u>postpartum women</u> (< 24 months after delivery) at this health facility?

<i>Check all that apply.</i>","1, HIV clinic | 2, Postnatal clinic for postpartum women only | 3, Maternal and child health (MCH) clinic for women and infants | 88, Other",,,,,,[care_postpartum_women]='1',y,,,,,
care_postpartum_site_other,iedea_2020_site_survey_english,,text,"9.5a If Other, please specify",,,,,,,[care_postpartum_site(88)] = '1',y,,,,,
care_postpartum_art_site,iedea_2020_site_survey_english,,checkbox,"9.6	Where did <u>women newly diagnosed with HIV during the postpartum period initiate ART</u> at this health facility?

<i>Check all that apply.</i>","1, HIV clinic | 2, Postnatal clinic for postpartum women only | 3, Maternal and child health (MCH) clinic for women and infants | 88, Other",,,,,,[care_postpartum_women]='1',y,,,,,
care_postpartum_art_site_other_2,iedea_2020_site_survey_english,,text,"9.6a If Other, please specify",,,,,,,[care_postpartum_art_site(88)] = '1',y,,,,,
services_peds2_b,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">10. SERVICES PROVIDED TO PEDIATRIC HIV PATIENTS
<i>Describe practices/service delivery prior to COVID-19</i></div>",checkbox,"10.1 In 2019, which of the following services were provided to <u>pediatric HIV patients</u> (< 10 years) at this facility? 



<i>Check all that apply OR select ""Not applicable"" if no pediatric patients are served at this facility.</i>","77, Not applicable <i>(No pediatric patients served at this facility)</i> | 1, Postnatal ARV prophylaxis/prevention of mother-to-child transmission services to HIV-exposed infants | 1b, ART initiation | 2, Infant feeding counseling | 3, Male circumcision for infants | 4, Immunizations | 5, Nutritional support | 6, Growth monitoring | 7, Integrated Management of Childhood Illness (IMCI) | 8, Screening for tuberculosis (TB) disease | 10, Testing for latent tuberculosis infection(LTBI)",,,,,,[care_postpartum_women]='1' or [care_postpartum_women]='0' or [care_postpartum_women]='',y,,,,, @NONEOFTHEABOVE=77
care_infants,iedea_2020_site_survey_english,,yesno,"10.2 In 2019, did this health facility provide HIV care and treatment to infants < 24 months of age?",,,,,,,[services_peds2_b(1)] = '1' or [services_peds2_b(1b)] = '1' or [services_peds2_b(2)] = '1' or [services_peds2_b(3)] = '1' or [services_peds2_b(4)] = '1' or [services_peds2_b(5)] = '1' or [services_peds2_b(6)] = '1' or [services_peds2_b(7)] = '1' or [services_peds2_b(8)] = '1' or [services_peds2_b(10)] = '1',y,RH,,,,
care_infants_site,iedea_2020_site_survey_english,,checkbox,"10.3 Where was HIV care provided for HIV-exposed infants (< 24 months of age) at this health facility?

<i>Check all that apply.</i>","1, HIV clinic | 2, Well-baby clinic (for infants and children only) | 3, Maternal and child health (MCH) clinic for women and infants | 88, Other",,,,,,[care_infants]='1',y,,,,,
care_infants_site_other,iedea_2020_site_survey_english,,text,"10.3a. If Other, please specify",,,,,,,[care_infants_site(88)] = '1',y,,,,,
care_infants_art_site,iedea_2020_site_survey_english,,checkbox,"10.4 In 2019, where did infants (< 24 months) diagnosed with HIV initiate ART at this health facility?

<i>Check all that apply</i>","1, HIV clinic | 2, Well-baby clinic (for infants and children only) | 3, Maternal and child health (MCH) clinic for women and infants | 88, Other",,,,,,[care_infants]='1',y,,,,,
care_infants_art_site_other,iedea_2020_site_survey_english,,text,"If Other, please specify",,,,,,,[care_infants_art_site(88)] = '1',y,,,,,
services_youth_b,iedea_2020_site_survey_english,,checkbox,"10.5 In 2019, did this health facility offer any of the following services for adolescent/youth HIV patients?  



<i>Check all that apply OR select ""None""</i>","77, None  <i>(No dedicated services for adolescent patients)</i> | 1, Dedicated hours or space for youth/adolescent HIV testing & counseling services | 2, Dedicated hours or space for youth/adolescent HIV care and treatment services | 3, Peer counseling for youth/adolescent HIV patients | 4, Support groups specifically for youth/adolescent HIV patients | 5, Services to support transition to adult HIV care",,,,,,[care_infants]='1' or [care_infants]='0' or [services_peds2_b(77)]='1',y,,,,, @NONEOFTHEABOVE=77
dtg_firstline,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">11. ROLL-OUT OF DOLUTEGRAVIR (DTG)-BASED ART REGIMENS
<i>Describe current status of DTG roll-out.</i></div>",yesno,11.1 Have DTG-based regimens been introduced at this HIV clinic as <u>first-line ART regimens</u>?,,,,,,,,y,RH,,,,
dtg_year,iedea_2020_site_survey_english,,radio,"11.2 When do you plan to introduce first-line dolutegravir (DTG)-based regimens?


<i>Check one best response.</i>
","77, No plans for introducing first-line DTG-based regimens | 2, 2020 | 3, 2021 | 9, Do not know",,,,,,[dtg_firstline]='0',y,,,,, @NONEOFTHEABOVE='77'
insti_firstline,iedea_2020_site_survey_english,,checkbox,"11.3 Have any of the following other integrase strand transfer inhibitor (INSTI)-based regimens been introduced as first-line ART regimens at this HIV clinic?

<i>Check all that apply</i>","77, None | 1, Elvitegravir (brand name Vitekta) | 2, Raltegravir (brand name Isentress) | 3, Bictegravir",,,,,,[dtg_firstline]='0',y,,,,, @NONEOFTHEABOVE=77
dtg_intro_dt,iedea_2020_site_survey_english,,text,"11.4 When (which month and year) was DTG introduced as a <u>first-line ART regimen</u>?

<i>Enter ""01"" for ""day"". 
If month is unknown, enter ""06"" for month</i>",,DD-MM-YYYY,date_dmy,,,,[dtg_firstline]='1',,,,,,
dtg_intro_dt_unk,iedea_2020_site_survey_english,,radio,,"99, Do not know",,,,,,[dtg_firstline]='1' AND [dtg_intro_dt]='',,,,,,
dtg_type,iedea_2020_site_survey_english,,checkbox,"11.5 Currently, which of the following patients are eligible for DTG-based <u>first-line regimens</u>?

<i>Check all that apply</i>
","1, ART-naive patients | 2, Patients with suppressed viral load (as defined locally) | 3, Patients with unsuppressed viral load (as defined locally) | 4, Patients without known drug resistance | 5, Patients with known drug resistance | 6, Women not of reproductive age (≥50 years) | 7, Women of reproductive age (15-49 years) | 8, Pregnant women | 10, Men | 11, Adolescents | 12, Children | 88, Other types of patients",,,,,,[dtg_firstline]='1',y,,,,,
dtg_type_other_3,iedea_2020_site_survey_english,,text,"11.5a If Children, specify minimum weight in Kg",,,integer,,,,[dtg_type(12)] = '1',y,,,,,
dtg_type_other,iedea_2020_site_survey_english,,text,"11.5b If Other types of patients, please specify",,,,,,,[dtg_type(88)] = '1',y,,,,,
dtg_2line,iedea_2020_site_survey_english,,yesno,11.6 Has DTG been introduced as a <u>2<sup>nd</sup> line ART regimen</u> at this site?,,,,,,,[dtg_firstline]='0' or [dtg_firstline]='1' or [insti_firstline(1)]='1' or [insti_firstline(2)]='1' or [insti_firstline(3)]='1' or [insti_firstline(77)]='1',y,RH,,,,
dtg_2line_year,iedea_2020_site_survey_english,,radio,"11.7 When do you plan to introduce <u>2<sup>nd</sup> line DTG-based regimens</u>?


<i>Check one best response.</i>
","77, No plans for introducing 2<sup>nd</sup> line DTG-based regimens | 2, 2020 | 3, 2021 | 9, Do not know",,,,,,[dtg_2line]='0',y,,,,, @NONEOFTHEABOVE='77'
dtg_2line_intro_dt,iedea_2020_site_survey_english,,text,"11.8 When (which month and year)  was DTG introduced as a <u>2<sup>nd</sup> line ART regimen</u>?

<i>Enter ""01"" for ""day"". 
If month is unknown, enter ""06"" for month.</i>",,,date_dmy,,,,[dtg_2line]='1',,,,,,
dtg_2intro_dt_unk,iedea_2020_site_survey_english,,radio,,"99, Do not know",,,,,,[dtg_2line]='1' AND [dtg_2line_intro_dt]='',,,,,,
dtg_2line_type,iedea_2020_site_survey_english,,checkbox,"11.9 Currently, which of the following patients are eligible for DTG-based <u>2<sup>nd</sup> line ART regimens</u>?

<i>Check all that apply</i>
","2, Patients with suppressed viral load (as defined locally) | 3, Patients with unsuppressed viral load (as defined locally) | 4, Patients without known drug resistance | 5, Patients with known drug resistance | 6, Women not of reproductive age (≥50 years) | 7, Women of reproductive age (15-49 years) | 8, Pregnant women | 10, Men | 11, Adolescents | 12, Children | 88, Other types of patients",,,,,,[dtg_2line]='1',y,,,,,
dtg_2line_type_other_3,iedea_2020_site_survey_english,,text,"11.9a If Children, specify minimum weight in Kg",,,integer,,,,[dtg_2line_type(12)] = '1',y,,,,,
dtg_2line_type_other,iedea_2020_site_survey_english,,text,"11.9b If Other types of patients, please specify",,,,,,,[dtg_2line_type(88)] = '1',y,,,,,
dtg_3line,iedea_2020_site_survey_english,,yesno,11.10 Has DTG been introduced as a <u>3<sup>rd</sup> line ART regimen</u> at this site?,,,,,,,[dtg_2line]='0' or [dtg_2line]='1',y,RH,,,,
dtg_3line_year,iedea_2020_site_survey_english,,radio,"11.11 When do you plan to introduce <u>3<sup>rd</sup> line DTG-based regimens</u>?


<i>Check one best response.</i>
","77, No plans for introducing 3<sup>rd</sup> line DTG-based regimens | 2, 2020 | 3, 2021 | 9, Do not know",,,,,,[dtg_3line]='0',y,,,,, @NONEOFTHEABOVE='77'
dtg_3line_intro_dt,iedea_2020_site_survey_english,,text,"11.12 When (which month and year)  was DTG introduced as a <u>3<sup>rd</sup> line ART regimen</u>?

<i>Enter ""01"" for ""day"". 
If month is unknown, enter ""06"" for month.</i>",,,date_dmy,,,,[dtg_3line]='1',,,,,,
dtg_3line_intro_dt_unk,iedea_2020_site_survey_english,,radio,,"99, Do not know",,,,,,[dtg_3line]='1' AND [dtg_3line_intro_dt]='',,,,,,
dtg_3line_type,iedea_2020_site_survey_english,,checkbox,"11.13 Currently, which of the following patients are eligible for DTG-based <u>3<sup>rd</sup> line ART regimens</u>?

<i>Check all that apply</i>
","2, Patients with suppressed viral load (as defined locally) | 3, Patients with unsuppressed viral load (as defined locally) | 4, Patients without known drug resistance | 5, Patients with known drug resistance | 6, Women not of reproductive age (≥50 years) | 7, Women of reproductive age (15-49 years) | 8, Pregnant women | 10, Men | 11, Adolescents | 12, Children | 88, Other types of patients",,,,,,[dtg_3line]='1',y,,,,,
dtg_3line_type_other_3,iedea_2020_site_survey_english,,text,"11.13a If Children, specify minimum weight in Kg",,,,,,,[dtg_3line_type(12)] = '1',y,,,,,
dtg_3line_type_other,iedea_2020_site_survey_english,,text,"11.13b If Other types of patients, please specify",,,,,,,[dtg_3line_type(88)] = '1',y,,,,,
dtg_rollout_type,iedea_2020_site_survey_english,,radio,11.14 Have DTG-based regimens been rolled out at this HIV clinic as part of a national initiative or an institutional or practice-level initiative?,"1, National roll-out of DTG-based regimens | 2, Institutional/practice-level roll-out of DTG-based regimens | 77, Not applicable (no introduction of DTG-based regimens)",,,,,,,y,,,,,
dtg_transition,iedea_2020_site_survey_english,,yesno,11.15 Is the transition of patients to DTG-based regimens based on viral load monitoring?,,,,,,,[dtg_rollout_type]='1' OR [dtg_rollout_type]='2',y,RH,,,,
dtg_trans_vl,iedea_2020_site_survey_english,,radio,"11.16  How recent a viral load measure do you require a patient to have before transitioning to DTG-based regimens?


<i>Select one best response</i>
","1, Viral load measure within previous 6 months | 2, Viral load measure within previous 12 months | 3, Viral load monitoring criteria varies by patient group",,,,,,[dtg_transition]='1',y,,,,,
dtg_genotyping,iedea_2020_site_survey_english,,yesno,11.17 Is HIV genotypic drug resistance testing performed at the time of switching to DTG-based regimen?,,,,,,,[dtg_transition]='0' OR [dtg_trans_vl]<>'',y,RH,,,,
dtg_genotyping_pt,iedea_2020_site_survey_english,,checkbox,"11.18 For which types of patients is HIV genotypic drug resistance testing performed at the time of switching to DTG-based regimen?


<i>Check all that apply</i>
","1, Adult patients starting on or switching 1st-line DTG-based regimen | 2, Adult patients switching to a 2nd-line DTG-based regimen | 3, Adult patients switching to a 3rd-line DTG-based regimen | 4, Children switching from a PI to a DTG-based regimen | 5, Children switching from a NNRTI to a DTG-based regimen | 88, Other",,,,,,[dtg_genotyping]='1',y,,,,,
other_dtg_geno,iedea_2020_site_survey_english,,text,"11.18a If Other, please specify",,,,,,,[dtg_genotyping_pt(88)] = '1',,,,,,
tb_algorithm,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">12. TB SCREENING, DIAGNOSIS AND PREVENTIVE THERAPY 
<i>Describe practices/service delivery prior to COVID-19 </i></div>",yesno,12.1 Did this HIV clinic have a <u>TB disease screening algorithm</u> for adult and/or pediatric patients in 2019? ,,,,,,,,y,RH,,,,
desc_12_2,iedea_2020_site_survey_english,,descriptive,"12.2 For each of the following symptoms, please indicate whether it was included in the <u>TB disease screening algorithm </u>at this HIV clinic for <u>adult</u> patients, <u>pediatric</u> patients, <u>adult and pediatric</u> patients or for <u>none.</u>                 ",,,,,,,[tb_algorithm]='1',,,,,,
cough_algorithm,iedea_2020_site_survey_english,,radio,12.2a. Cough,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
fever_algorithm,iedea_2020_site_survey_english,,radio,12.2b. Fever,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
nsweats_algorithm,iedea_2020_site_survey_english,,radio,12.2c. Night sweats,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
wloss_algorithm,iedea_2020_site_survey_english,,radio,12.2d. Weight loss,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
contacthx_algorithm,iedea_2020_site_survey_english,,radio,12.2e. History of contact with a case of TB,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,,
thrivefail_algorithm,iedea_2020_site_survey_english,,radio,12.2f. Poor weight gain/failure to thrive,"1, ADULTS | 2, CHILDREN | 3, ADULTS & CHILDREN | 77, NONE",,,,,,[tb_algorithm]='1',y,,,tb_screening_algor,," @MAXCHOICE(1=0, 3=0)"
